x,y
1244932.09862346,246652.89682438
1250955.81560444,250002.29113376
1252466.35615839,253546.81809443
1252067.16916926,257505.15941831
1253568.85321664,259565.52169293
1258413.18685813,262804.53283214
1260591.1917341,272673.68293099
1283480.95285749,272229.81036084
1284955.74661185,271023.7054702
1287486.35283477,257063.71738048
1289055.30242072,255292.44635475
1290387.85651297,255442.35651956
1292791.99194262,254171.58953419
1293764.51047497,251910.46410502
1291786.33223709,247637.81260139
1288297.50342508,244864.24634296
1285210.7348292,238622.94232078
1286176.74537901,237234.72318555
1285996.88483934,234298.17617802
1284331.27584204,230983.14906452
1284854.26767724,228291.00992886
1282987.547008,220215.98212641
1282986.25302009,216475.05325926
1284345.95637003,213067.50145334
1286886.18961986,211089.95276356
1288240.03191609,208493.42060639
1290698.0535269,209513.27588816
1292333.10699875,207299.46942187
1292509.83654029,204150.39591799
1289978.7369849,202200.84819448
1288255.96834121,198076.60976378
1289014.58265681,193968.03949789
1291078.22817301,191435.33231263
1294895.89730176,189481.88756601
1294416.74823167,188002.42507191
1292310.80739517,187862.79768406
1293732.89305091,186859.19491332
1293257.23695933,184338.89036215
1290085.15025757,184184.35558821
1289104.0403764,185406.03621952
1288455.08989403,183005.35850428
1284561.84039751,183031.02251541
1284069.93203851,187137.08764069
1279270.44262556,188613.08866682
1278975.76725584,193488.22311816
1276869.79970119,193925.11620359
1274288.38182776,191670.59518069
1272371.86213082,191541.23169743
1271505.89824601,189891.64134884
1268564.731002,189933.3360348
1267616.68048442,191122.68615139
1263026.27159529,190573.24116347
1261634.90051007,191271.05138213
1261650.6128897,187197.41135224
1259580.44134731,183748.94515685
1258458.89416922,183876.17823672
1255429.20668246,186484.19840363
1252298.9988505,192364.39056008
1253613.99182209,195100.95089083
1251816.96611752,197248.3065782
1253195.00278992,199409.64214092
1252379.88104427,206189.99343644
1247451.12960441,214632.8936056
1252696.52912589,217776.95899142
1256528.84608501,222220.59498536
1258848.64734333,221509.22635907
1260871.5327457,218255.86261435
1262954.7400797,218139.79268156
1266908.9964741,220267.72677407
1267643.31766451,222979.40456441
1260944.88861312,230563.41554907
1257642.58217782,231222.36625055
1256925.17185973,232617.80935109
1254849.58745317,232793.39068815
1250271.47990275,236079.9211084
1248842.51299871,238170.89371111
1248169.69090963,241745.07026462
1244469.20083542,244941.90787587
1244932.09862346,246652.89682438
